STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,TRANSFORMATION,Transformation,ADJUSTMENT,Ajustement,SEX,Sexe,AGE,Âge,ACTIVITY,Activité économique,FREQ,Fréquence d'observation,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,BASE_PER,Période de base,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2018,,78.5,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2019,,80.25,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2020,,82,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2021,,80.45,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2022,,79.625,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2023,,80.45,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2024,,80.7,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LTU,Lituanie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2005,,90.4,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LTU,Lituanie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2006,,83.85,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LTU,Lituanie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2007,,90.725,,,,A,Valeur normale,3,Thousands,0,Zero
